0,1,2
202.0,,0.0
,,
,,
402.0,,
,,4.0
709.0,,12.0
,,
1170.0,,
,,
,2.0,
,3.0,
,,
,,
1462.0,5.0,
1505.0,,
,9.0,
,11.0,
,,
,13.0,
1845.0,,
,,
,,410.0
2028.0,25.0,
,,
,,
,,
,34.0,
,48.0,
2783.0,,903.0
,,
3158.0,,
3300.0,,
3465.0,58.0,1055.0
,,
,,
4220.0,79.0,
,,
4546.0,87.0,
,,1473.0
,,
,,2073.0
,,
,,
6336.0,,
,131.0,2549.0
7220.0,138.0,
,148.0,
7808.0,,
8232.0,161.0,
,,
,,3983.0
10015.0,,
10652.0,206.0,
,206.0,4357.0
12074.0,,
,,
13524.0,247.0,6083.0
14355.0,261.0,
15515.0,,7006.0
,,
17200.0,,
,,
,,
20125.0,,
21343.0,,
,429.0,
23615.0,481.0,
,,
,552.0,
,,14370.0
,,15093.0
,,
,683.0,
,705.0,17291.0
,,
,,19682.0
,,
43434.0,908.0,23088.0
,,24258.0
,,24364.0
,1080.0,26099.0
,,
,1210.0,31505.0
58568.0,,
61927.0,,
,1423.0,
,,
,,
76334.0,,42063.0
,,
,1737.0,
87715.0,,47825.0
,1877.0,
97302.0,1930.0,
101590.0,,
,,55045.0
,,56874.0
,2292.0,
124590.0,,
,,
,,68925.0
144264.0,,
,,
159333.0,,
168061.0,2844.0,
177124.0,,86298.0
187977.0,3026.0,
196750.0,3199.0,93315.0
,3310.0,
,,
,3602.0,
,3720.0,
,,118232.0
264184.0,,127715.0
,,
,,
,4346.0,
,,
,4669.0,
,,178183.0
350879.0,,182230.0
,,
,,
,,
,,229175.0
408052.0,,236260.0
,,245771.0
,6655.0,
,6769.0,265077.0
,,
,,
,7497.0,
,,
,,
,,342461.0
,,
516862.0,,358037.0
521318.0,,363751.0
529877.0,9298.0,
,,
,9909.0,
553188.0,,404568.0
559859.0,,
,,
,,
,11010.0,
,11270.0,
,,461734.0
,,
,,472377.0
,,
592144.0,,
,12423.0,491441.0
,,497169.0
,,500102.0
607045.0,12987.0,
,,
611450.0,,
,13308.0,
,13502.0,
,,
620132.0,13743.0,533935.0
,,536694.0
,14028.0,538604.0
