0,1,2
203.0,,4.0
,,
,,4.0
,,
,,4.0
,,
,,
717.0,,
848.0,,4.0
993.0,,
1094.0,28.0,
,,35.0
,,35.0
1510.0,,
,,
,,
2143.0,94.0,633.0
,,
,,
,174.0,633.0
,,633.0
,233.0,
4219.0,,
,,
,,
5399.0,,1964.0
5847.0,,
,,
,546.0,
7497.0,,2125.0
,,2627.0
8772.0,,
,857.0,
,,
11633.0,,
12872.0,,
13842.0,,
,1351.0,
15529.0,1434.0,9086.0
,,
,,
19224.0,,
,,12377.0
,2061.0,12377.0
,,
24905.0,2271.0,
,,16810.0
27634.0,,
,,
31522.0,,20314.0
,3353.0,21824.0
,3465.0,
36327.0,3573.0,
,,
40186.0,,26990.0
42595.0,,
,,30451.0
47144.0,,31848.0
,,
51633.0,,35388.0
54346.0,,
,,
59567.0,,40152.0
62527.0,6989.0,42191.0
65856.0,,44424.0
,,
,,
74560.0,,
78023.0,8597.0,53834.0
,9044.0,56041.0
,,
,,61247.0
,,
93435.0,,
,10637.0,
,,
,,74758.0
,,
113619.0,,
,,83775.0
,14053.0,
124301.0,,
,,93930.0
,,
139196.0,,
,,104078.0
,,
,,112292.0
,,115394.0
159793.0,19080.0,118504.0
165455.0,19747.0,
170485.0,,126438.0
,,
,21825.0,134495.0
,22584.0,139383.0
,,143646.0
,,
,,
,,
,,
,26648.0,
220657.0,,170147.0
226089.0,,
,,178526.0
,29189.0,
,29843.0,
252165.0,,
,,199914.0
261750.0,31119.0,
,32014.0,209437.0
,,
,,
,,
,,
,,
,,
,,245830.0
317635.0,,252368.0
,,
331298.0,,
,,
,39184.0,
349396.0,,
,,
,41190.0,
,,
,,
385036.0,,
,43680.0,
,,303810.0
,,
,45361.0,
,46000.0,320100.0
,,327115.0
434193.0,,
439046.0,,342527.0
,,353442.0
,,357444.0
456100.0,,
,,365311.0
469407.0,,
475902.0,52006.0,
,,
485836.0,53003.0,
,,397278.0
,,
,,
,,
,,418164.0
,,
525733.0,,430840.0
,57774.0,
,,
,59106.0,
,,
,,
,,458123.0
,,466209.0
,61450.0,
573888.0,,
,,
585738.0,,
591712.0,63819.0,
595841.0,,489724.0
599560.0,64414.0,
606036.0,,
610957.0,,
616894.0,66329.0,510626.0
,,
,67326.0,
,,
637509.0,,
642860.0,,
,,
,,
658299.0,70183.0,
,,
668381.0,,
,,
,,569546.0
680931.0,,
684113.0,,579145.0
,72803.0,582109.0
694121.0,,
,,
,,
,74348.0,598953.0
,,
715457.0,,
720858.0,,609041.0
,76243.0,612361.0
,,
,76603.0,622398.0
,,
743216.0,77646.0,628007.0
,,
,,
,,637993.0
,,645123.0
,,
794608.0,,
799188.0,,
,,
810020.0,,
,,689377.0
,,694214.0
,,700826.0
825340.0,,
,,
,,707631.0
841661.0,,
,,
851227.0,86167.0,
,86338.0,
,86893.0,
,,
,,
,,
,88743.0,746939.0
,,
,89171.0,
,,
,,
,,770007.0
,,
,91753.0,779371.0
929392.0,,
933155.0,,
938405.0,,
,,804887.0
,,
,,
,,
967825.0,95027.0,
,,
978531.0,95842.0,
,,
,,
,,
,98259.0,
1006522.0,,
1009396.0,,
,,
,,
,,
,100823.0,
,,
1041875.0,101676.0,
,,784693.0
,,
,,
1078594.0,,803581.0
,,
,,
,105655.0,
,,
1122362.0,,
,,
,108173.0,
,,
,,859643.0
,109717.0,866186.0
1182249.0,,
,,
,,889168.0
,112326.0,
1229379.0,,
,,
,,
,,
,115099.0,
1277499.0,115769.0,
,,
1301546.0,,
,,
,,
,,
1338426.0,,
1350079.0,,
1362564.0,,
1372243.0,121837.0,
,,
,,1038766.0
,122855.0,1048539.0
,,1058429.0
1413935.0,,
,,
,,
,126851.0,
1448755.0,,
,,
1466490.0,128822.0,
,,
,131031.0,
1507931.0,,
,,
,133706.0,
1541633.0,,
,,1168354.0
,,
,,
,,
,140241.0,
1641428.0,140704.0,1223108.0
1649502.0,141248.0,1237321.0
1668396.0,142832.0,1251782.0
,,1264780.0
1711283.0,,1264780.0
,,1291940.0
1752347.0,149084.0,1306138.0
,,1320448.0
1771740.0,,
1788905.0,,
1806849.0,,
,,
1841893.0,,
,,
,,
,,1425748.0
,,
,161240.0,
,161240.0,
,,1472151.0
,,
,,
,,
1946751.0,,
,,1519572.0
1968566.0,171234.0,
,,
,,
,,
,,
,,
