Confirmed,Death,recovered
10639684,153184,10300838
10654533,153339,10316786
10667736,153470,10330084
10676838,153587,10345985
10689527,153724,10359305
10701193,153847,10373606
10720048,154010,10394352
10733130,154147,10409146
10746174,154274,10423109
10757610,154392,10434983
10766245,154486,10448406
10777284,154596,10462631
10790183,154703,10480455
10802591,154823,10496308
10814304,154918,10510796
10826363,154996,10522601
10838194,155080,10534505
10847304,155158,10548521
10858371,155252,10561608
10871294,155360,10573372
10880603,155447,10589230
10892746,155550,10600625
10904940,155642,10611731
10916589,155732,10621220
10925710,155813,10633025
10937320,155913,10644858
10950201,156014,10656845
10963394,156111,10667741
10977387,156212,10678048
10991651,156302,10689715
11005850,156385,10699410
11016434,156463,10712665
11030176,156567,10726702
11046914,156705,10738501
11063491,156825,10750680
11079979,156938,10763451
11096731,157051,10775169
11112241,157157,10786452
11124527,157248,10798921
11139516,157346,10812044
11156923,157435,10826075
11173761,157548,10839894
11192045,157656,10854126
11210799,157756,10868520
11229398,157853,10882798
11244786,157930,10899394
11262707,158063,10920046
11285561,158189,10938146
11308846,158306,10953303
11333728,158446,10973260
11359048,158607,10989897
11385339,158725,11007352
11409831,158856,11027543
11438734,159044,11045284
11474605,159216,11063025
11514331,159370,11083679
11555284,159558,11107332
11599130,159755,11130288
11646081,159967,11151468
11686796,160166,11181253
11734058,160441,11205160
11787534,160692,11231650
11846652,160949,11264637
11908910,161240,11295023
11971624,161552,11323762
12039644,161843,11355993
12095855,162114,11393021
12149335,162468,11434301
12221665,162927,11474683
12303131,163396,11525039
12392260,164110,11569241
12485509,164623,11629289
12589067,165101,11682136
12686049,165547,11732279
12801785,166177,11792135
12928574,166862,11851393
13060542,167642,11913292
13205926,168436,11990859
13358805,169275,12081443
13527717,170179,12156529
13689453,171058,12253697
13873825,172085,12336036
14074564,173123,12429564
14291917,174308,12547866
14526609,175649,12671220
14788003,177150,12809638
15061805,178769,12953817
15320972,180530,13108565
15616130,182553,13276039
15930774,184657,13454880
16263695,186920,13648159
16610481,189544,13867997
16960172,192311,14085110
17313163,195123,14304382
17636186,197894,14556089
17997113,201187,14817240
18376421,204832,15086740
18762976,208330,15384418
19164969,211853,15684406
19557457,215542,15992271
19925517,218959,16292725
20282833,222408,16613292
20664979,226188,16951521
21077410,230168,17280844
21491598,234083,17612351
21892676,238270,17930960
22296081,242347,18317364
22662575,246116,18671222
22992517,249992,19027304
23340938,254197,19382642
23703665,258317,19734823
24046809,262317,20079599
24372907,266207,20432898
24684077,270284,20795335
24965463,274390,21174076
25228996,278719,21596512
25496330,283248,21986363
25772440,287122,22355440
26031991,291331,22712735
26289290,295525,23070365
26530132,299266,23425467
26752447,303720,23728011
26948874,307231,24054861
27157795,311388,24350816
27369093,315235,24633951
27555457,318895,24893410
27729247,322512,25178011
27894800,325972,25454320
28047534,329100,25692342
28175044,331895,25947629
28307832,335102,26179085
28441986,337989,26390584
28574350,340702,26597655
28694879,344082,26795549
28809339,346759,26984781
28909975,349186,27159180
28996473,351309,27341462
29089069,353528,27504126
29182532,355705,27655493
29274823,363079,27790073
29359155,367081,27911384
29439989,370384,28043446
29510410,374305,28162947
29570881,377031,28280472
29633105,379573,28388100
29700313,381903,28491670
29762793,383490,28580647
29823546,385137,28678390
29881772,386708,28765738
29935221,388135,28844199
29977861,389302,28926038
30028709,390660,28994855
30082778,391981,29063740
30134445,393310,29128267
30183143,394493,29193085
30233183,395751,29251029
30279331,396730,29309607
30316897,397637,29366601
30362848,398454,29427330
30411634,399459,29488918
30458251,400312,29548302
30502362,401050,29605779
30545433,402005,29658078
30585229,402728,29700430
30619932,403281,29752294
30663665,404211,29799534
30709557,405028,29843825
30752950,405939,29888284
30795716,407145,29933538
30837222,408040,29975064
30874376,408764,30014713
30907282,410784,30063720
30946147,411406,30104659
30987880,411989,30143850
31026829,412531,30183876
31064908,413091,30227792
