Confirmed,Death,recovered
8942472,219027,7896290
9007244,220363,7964176
9068004,221801,7979513
9127507,222888,8066603
9180621,224080,8148671
9208521,224648,8176373
9237011,225271,8202354
9293289,226532,8258074
9347703,227731,8311881
9404810,229007,8366197
9456500,230258,8396148
9502810,231195,8428992
9528972,231684,8467982
9557558,232405,8478818
9608775,233720,8577207
9669883,235081,8616282
9723487,236523,8637050
9772429,237743,8691664
9817285,238768,8740445
9848008,239421,8765048
9873816,240032,8821887
9939100,241124,8847264
9986325,242313,8933402
10039804,243752,8960755
10091961,245083,8988618
10144332,246114,9070505
10173817,246720,9095692
10205663,247431,9108205
10269248,248790,9189903
10334634,250236,9214337
10402913,251811,9264696
10466308,253154,9309568
10524726,254406,9371448
10558091,255179,9382316
10598476,256007,9437611
10658171,257728,9506251
10731070,259576,9548315
10807092,261384,9605870
10879597,263098,9647550
10946501,264588,9686024
11028185,265686,9739464
11064770,266808,9826292
11136064,268759,9878566
11217531,271140,9921994
11294602,273335,9983656
11377073,275457,10041024
11447416,277413,10084820
11490864,278483,10113487
11535178,279817,10195598
11620823,282667,10261154
11709475,285328,10326375
11797401,288052,10383496
11885660,290708,10435864
11958814,293076,10476123
12006259,294323,10509457
12062229,295926,10611595
12147437,299073,10665161
12238343,301390,10750131
12336604,304044,10808499
12416950,307554,10886792
12498653,310963,10948382
12545611,312545,11004281
12588226,314558,11022192
12674667,318213,11085369
12763392,322138,11181371
12851165,325793,11240213
12920540,328594,11277632
12959895,330503,11327510
12992213,331745,11343607
13034887,333657,11405558
13120019,337725,11459548
13208715,341396,11592159
13297270,345544,11668734
13385380,349296,11722181
13451932,351674,11739649
13491107,353531,11878958
13530757,355242,11892229
13613418,358999,11975121
13688024,362444,12033880
13759207,365935,12084851
13843594,369272,12163831
13912159,372149,12212890
13950997,373671,12303538
13987519,375427,12346828
14060162,378774,12425791
14134150,381971,12436210
14182258,384022,12530970
14251539,387064,12586272
14315320,389830,12606011
14348961,391164,12614559
14381359,392544,12707500
14457203,395625,12815119
14534482,398637,12849663
14603096,401669,12942081
14675104,404530,12991951
14733396,406770,13023892
14762684,408036,13083550
14801673,409161,13135143
14871208,412140,13170561
14947580,414911,13254660
15019870,417447,13285589
15096714,419633,13400075
15158475,421715,13422047
15191195,422637,13457400
15227496,423748,13481062
15297602,425993,13592463
15373850,428574,13622419
15453880,430851,13662690
15531794,433038,13703280
15599145,435039,13710822
15636709,436100,13764520
15672307,437185,13856731
15747112,439636,13957814
15827375,442136,14043766
15910762,444647,14080089
15987393,446773,14103800
16055289,448499,14132443
16093784,449388,14132443
16131264,450250,14190644
16205305,452434,14231991
16285550,454897,14272174
16350081,456998,14455810
16403969,459424,14492701
16479832,461365,14496224
16521281,462278,14540507
16557888,463244,14586009
16636801,465578,14694950
16733079,468086,14763694
16809146,470000,14763694
16852317,471191,14868994
16913984,472861,14944069
16954327,473741,15000718
16994043,474890,15019797
17049756,477538,15055747
17134623,479930,15154101
17225867,482435,15211176
17312179,484612,15260459
17385952,486586,15271120
17422936,487706,15400169
17465628,488726,15421397
17552769,491411,15519955
17639297,494113,15569556
17715789,496427,15660614
17811233,498903,15687189
17889167,501108,15745463
17933754,502139,15745463
