Confirmed,Death,recovered
1521706,50803,1442045
1522697,50906,1444282
1524174,51015,1445979
1525648,51110,1447503
1526873,51179,1449654
1528414,51261,1452988
1529420,51326,1454290
1530033,51421,1455325
1530966,51560,1458001
1532497,51634,1459056
1533961,51724,1459894
1535423,52035,1461196
1536801,52082,1462110
1537852,52111,1463089
1538451,52196,1463953
1538961,52251,1465204
1540009,52372,1466595
1541563,52535,1467254
1543079,52602,1469565
1544466,52648,1471164
1545431,52663,1471899
1545979,52710,1472645
1546735,52788,1473588
1548157,52846,1474319
1549451,52897,1474826
1550724,52946,1475398
1551501,52954,1476605
1551964,52987,1477363
1552416,52995,1478088
1552853,53032,1478820
1553609,53111,1479821
1554975,53173,1480632
1556242,53226,1481637
1557527,53256,1482682
1558458,53322,1483296
1559113,53356,1484356
1559960,53423,1485315
1561559,53498,1486873
1562931,53571,1488060
1564355,53663,1488572
1565680,53711,1489457
1566769,53736,1490143
1567513,53757,1490876
1568366,53887,1494630
1569935,53940,1495864
1571348,53995,1496756
1572985,54066,1499110
1574370,54125,1500360
1575471,54148,1501185
1576320,54186,1501880
1577200,54237,1502986
1578450,54285,1503611
1579536,54331,1504426
1581210,54350,1505620
1582842,54406,1506732
1584064,54417,1507778
1584961,54452,1508558
1586148,54511,1509656
1588221,54557,1510385
1590370,54620,1511905
1592626,54687,1513202
1592626,54687,1513202
1596595,54735,1516256
1597724,54825,1517350
1599272,54896,1519258
1602031,54968,1519734
1605252,55012,1520878
1608393,55124,1522165
1611143,55183,1523243
1613728,55210,1524352
1615485,55260,1526638
1617840,55340,1527968
1621362,55507,1528868
1625003,55568,1531993
1628335,55719,1534350
1632571,55772,1537430
1635465,55802,1539395
1637848,55874,1541250
1637848,55976,1543951
1645555,56077,1546583
1649977,56170,1548092
1654551,56293,1551520
1659070,56363,1554184
1659070,56363,1554184
1665617,56506,1559337
1669231,56601,1563719
1675013,56711,1565684
1680373,56765,1567635
1686041,56832,1570975
1691491,56929,1574223
1696564,56974,1578033
1699849,57063,1581540
1704058,57183,1587015
1712939,57310,1589501
1722086,57410,1593059
1730106,57592,1598293
1739425,57706,1602406
1747082,57765,1606581
1752630,57879,1611447
1761066,58087,1616405
1774312,58223,1620317
1786079,58323,1623319
1796589,58441,1632182
1810164,58590,1640849
1823319,58702,1647503
1832479,58795,1656680
1843572,59092,1665540
1861065,59258,1671391
1877143,59406,1675827
1895905,59621,1690380
1913861,59778,1702070
1928897,59900,1709999
1941119,60038,1723882
1954466,60264,1739976
1973972,60647,1748042
1995556,61029,1754793
2019826,61332,1773930
2046311,61507,1792361
2062896,61840,1808082
2075409,62171,1827821
2090909,62628,1845038
2112336,63039,1853804
2135246,63499,1862900
2157687,63873,1884170
2179297,64138,1904107
2195599,64289,1922601
2206781,64509,1943513
2219316,65142,1961448
2236805,65595,1970516
2253240,65972,1982122
2269179,66385,2009456
2283880,66676,2028881
2295095,66859,2050164
2302304,67080,2069085
2311232,67676,2085119
2327472,68192,2098818
2342330,68625,2109820
2356049,69075,2133196
2368105,69488,2147168
2377823,69775,2158183
2383490,70018,2169452
2391223,70338,2180494
2408525,70908,2180494
2422151,71431,2194762
2435036,71679,2207960
2447454,72013,2222338
2456184,72191,2230871
2461758,72437,2238388
2470746,72992,2250708
2484009,73415,2258603
