Confirmed,Death,recovered
1582275,59572,1351390
1590605,59663,1358541
1598875,59736,1365253
1607081,59830,1372308
1615184,59899,1379922
1623159,59980,1386534
1631169,60073,1393125
1639679,60181,1399934
1648174,60267,1406845
1656699,60353,1413717
1665103,60431,1420958
1673470,60512,1428008
1681682,60594,1435357
1689692,60687,1442198
1698005,60786,1449350
1706559,60867,1456759
1715162,60928,1464268
1723470,61016,1471179
1731558,61069,1477588
1739360,61142,1485179
1746953,61230,1492488
1754933,61330,1499301
1763313,61427,1506360
1771115,61492,1514061
1778645,61581,1521377
1786265,61649,1528694
1793805,61724,1536606
1801065,61797,1543119
1808422,61877,1549649
1815712,61951,1555766
1823317,62045,1562709
1830823,62142,1569697
1838803,62223,1577408
1846923,62308,1585114
1855674,62397,1593219
1864984,62478,1600488
1875234,62569,1608807
1885564,62665,1617333
1897314,62759,1626144
1908974,62876,1633949
1920394,62999,1642418
1932074,63160,1650569
1945964,63332,1658978
1963394,63506,1667079
1984348,63699,1675891
2006934,63884,1684570
2029412,64039,1693005
2049078,64232,1702062
2070141,64490,1710974
2093452,64764,1720084
2118212,65055,1729293
2143794,65359,1739002
2168872,65680,1749041
2194133,66008,1761497
2215445,66327,1772688
2237089,66732,1785358
2261435,67130,1797319
2286927,67525,1810531
2311813,67913,1823958
2335905,68366,1837590
2358809,68746,1850791
2377039,69120,1863405
2396204,69574,1877517
2417230,70070,1892229
2438193,70532,1907190
2459906,70966,1923081
2479805,71351,1938064
2499077,71758,1954321
2516157,72090,1971064
2534855,72484,1988165
2555587,72875,2004949
2575737,73219,2022586
2591609,73568,2039427
2610018,73906,2057692
2627094,74241,2074089
2640670,74524,2092381
2654811,74910,2109702
2673219,75261,2127192
2691352,75568,2144197
2707761,75934,2162087
2722007,76231,2179890
2732152,76433,2196197
2739875,76633,2210851
2751166,76936,2226122
2765485,77222,2242023
2779415,77532,2258046
2792204,77765,2272719
2804632,77994,2290613
2815882,78194,2304824
2823887,78381,2319746
2832518,78597,2333789
2843523,78848,2347752
2855396,79056,2362428
2865864,79219,2379139
2875858,79384,2396540
2886111,79568,2410252
2893218,79741,2425033
2902094,79939,2441528
2913136,80156,2458684
2923823,80327,2477596
2935443,80488,2494108
2945100,80658,2508907
2954309,80813,2522702
2960751,80941,2537092
2966363,81063,2552401
2971270,81183,2565972
2980116,81362,2578263
2990714,81519,2590682
3003112,81672,2612091
3013078,81796,2624802
3020522,81911,2640281
3028717,82098,2652792
3039432,82217,2666601
3049648,82351,2683210
3060135,82480,2696434
3070426,82619,2708743
3080526,82746,2722612
3086974,82854,2736013
3095135,82965,2748320
3105620,83101,2760229
3117336,83217,2771705
3128395,83329,2784014
3140129,83473,2797105
3150949,83588,2809595
3157983,83711,2822704
3167741,83845,2835633
3180092,83985,2848042
3192809,84127,2862261
3204557,84264,2876828
3218860,84389,2889939
3232696,84516,2902140
3241037,84627,2914830
3254818,84792,2926266
3270843,84949,2940874
3286923,85095,2953586
3304135,85261,2967821
3327526,85397,2981019
3344122,85543,2995195
3355786,85694,3010090
3373450,85859,3025911
3394279,86041,3041541
3417029,86207,3056160
3440400,86391,3069943
3464055,86592,3086017
3485940,86791,3101618
3501079,86966,3118349
3523263,87161,3135060
3548704,87374,3152653
3576148,87624,3168834
3603527,87837,3185946
3623840,88063,3204136
3645654,88273,3220445
3664286,88532,3239172
3691432,88800,3256856
3723246,89122,3274346
3758197,89479,3291979
3792014,89782,3310163
3826447,90074,3329065
3851162,90344,3348363
3871008,90630,3367272
3903519,90996,3385195
3940708,91407,3404533
3979727,91785,3424650
4019084,92194,3444798
