Confirmed,Death,recovered
1338297,124384,1244029
1344969,125090,1250047
1349847,125970,1248642
1358294,126419,1262722
1364964,127239,1269365
1371176,127641,1276245
1380023,128615,1288067
1380023,128987,1288067
1387457,129608,1294623
1394571,130271,1301439
1402610,130891,1308175
1407963,131535,1313763
1412406,132333,1322685
1418974,133178,1329788
1435598,133713,1347160
1435598,134183,1347160
1451645,135253,1364556
1451645,135914,1364556
1466326,136276,1381318
1466326,136818,1381318
1481259,137494,1388554
1481259,138201,1397341
1500465,138907,1406304
1512384,139783,1423259
1520973,140281,1432450
1529882,141270,1442405
1533121,141938,1451112
1533121,142462,1451112
1548807,143416,1468457
1561723,144106,1476782
1568345,144698,1485582
1573961,145725,1492052
1582367,146427,1500582
1590209,146941,1509493
1590209,147734,1509493
1598593,148497,1518776
1617864,149241,1527112
1628519,150017,1547807
1639767,150851,1557779
1647694,151887,1566543
1653320,152789,1575242
1659707,153538,1584425
1667737,154429,1592937
1667737,154885,1592937
1681063,155637,1602034
1697626,156810,1619680
1697626,157243,1619680
1707787,158364,1636286
1719088,158889,1645100
1719088,159730,1645100
1734606,160521,1653411
1745655,161755,1670805
1754150,162170,1679099
1761575,163206,1688091
1768186,163970,1714995
1768186,164433,1714995
1783339,165485,1728662
1783339,166236,1728662
1799445,166701,1736183
1799445,167398,1741861
1810998,168120,1748170
1814127,169073,1761205
1818689,169534,1761205
1818689,170200,1766872
1824457,170905,1773490
1824457,171563,1773490
1845056,172525,1793390
1850290,173103,1798844
1850290,173446,1798844
1853370,174328,1803054
1865639,174855,1812900
1865639,175444,1812900
1879049,176094,1824406
1879049,176632,1824406
1889052,177196,1834372
1889052,177751,1834372
1893334,177944,1838647
1903615,178716,1847981
1903615,178984,1847981
1910360,179427,1852686
1920851,180159,1864045
1925289,180605,1869538
1925289,180818,1869538
1932255,181661,1881421
1937245,181836,1887133
1942054,182300,1892794
1942054,182556,1892794
1947555,182982,1897522
1947555,183391,1897522
1955469,183783,1905433
1955469,184021,1905433
1965432,184942,1918756
1965432,184942,1918756
1976166,185813,1929264
1980391,186073,1931773
1980391,186073,1931773
1983570,186511,1936147
1984999,186757,1940723
1987933,187157,1944122
1995257,187847,1952027
1998056,188100,1955350
1998056,188100,1955350
2003625,188708,1962124
2003625,188708,1962124
2007477,189261,1968723
2007477,189261,1968723
2019716,189757,1975840
2023179,189933,1979376
2023179,189933,1979376
2026729,190202,1982916
2030611,190645,1988382
2030611,190645,1988382
2033606,190906,1991807
2036449,191073,1994330
2043262,191447,2001357
2043262,191447,2001357
2046057,191584,2004860
2048115,191899,2007201
2048115,191899,2007201
2052065,192331,2012397
2057554,192687,2017664
2057554,192687,2017664
2057554,192687,2017664
2065113,193230,2026122
2066677,193389,2027878
2069051,193588,2030251
2071637,193743,2032613
2074186,193909,2035017
2074186,193909,2035017
2078815,193230,2039864
2080777,194387,2042675
2081557,194488,2045506
2083567,194606,2047805
2085883,194752,2047805
2088143,194845,2052427
2090175,194935,2054757
2092125,195047,2056952
2093754,195146,2059102
2094445,195243,2060255
2096013,195332,2061951
2097811,195429,2063637
