Confirmed,Death,recovered
2069370,183692,1620008
2076882,184474,1625328
2084128,185257,1630002
2086938,185715,1633900
2089281,186152,1639943
2097194,187187,1645312
2104987,188044,1650230
2112508,188866,1655549
2119305,189578,1660786
2125866,190357,1666658
2128600,190604,1670431
2130477,190923,1675996
2137884,191789,1681336
2144486,192491,1685996
2150955,193152,1691093
2157771,193851,1696739
2163875,194490,1701216
2166290,194710,1705743
2167729,194944,1711931
2169007,195119,1716135
2175462,195908,1720430
2182188,196606,1724794
2187910,197219,1729269
2193639,197827,1733089
2195772,198036,1736159
2197160,198239,1740254
2203041,199048,1744262
2208755,199627,1748317
2214542,200211,1752125
2219845,200862,1755798
2224904,201429,1759123
2226550,201623,1761786
2227843,201832,1765244
2232910,202633,1769256
2238887,203210,1773236
2244268,203664,1777697
2247357,203854,1781629
2249195,204011,1785643
2250458,204147,1788209
2251705,204399,1791894
2256509,204985,1795213
2261879,205598,1798657
2267019,206146,1802033
2272064,207020,1804914
2278420,209212,1807676
2280213,209338,1809921
2281840,209702,1812694
2286352,210282,1815237
2291246,210812,1817866
2295435,211213,1820959
2299939,211693,1823732
2304096,212228,1826646
2305602,212339,1829480
2306910,212466,1833132
2311172,213048,1836377
2315811,213597,1839381
2319519,214095,1841964
2323430,214504,1845008
2326738,214853,1848177
2328391,214947,1850680
2329534,215113,1853789
2333126,215547,1856543
2336944,215918,1858844
2340934,216447,1861861
2344755,216907,1864914
2347780,217168,1867191
2348873,217233,1869529
2349900,217345,1872375
2352964,217740,1875211
2355985,218007,1877347
2358831,218173,1879713
2361874,218657,1881818
2364617,218928,1884008
2365792,218985,1886233
2366496,219089,1888638
2368393,219323,1891052
2371483,219590,1893236
2375115,219901,1895483
2377995,220159,1897587
2380690,220384,1899742
2381923,220437,1901322
2382745,220493,1903494
2385512,220746,1905591
2387512,220850,1907538
2390140,221080,1909187
2392744,221256,1911033
2395330,221597,1912690
2396604,221647,1914101
2397307,221695,1916144
2399790,221960,1917958
2402722,222232,1919821
2405772,222661,1921510
2408778,223072,1923744
2411503,223455,1924865
2412810,223507,1926287
2413742,223568,1928467
2420659,227840,1930608
2423928,228146,1932457
2426822,228362,1934541
2429631,228568,1936266
2431702,228758,1937977
2433681,228804,1939596
2434562,228838,1941913
2438011,229100,1944267
2441866,229353,1946477
2445538,229580,1948267
2448820,229823,1950419
2452469,230097,1952381
2454176,230150,1954251
2455351,230187,1956575
2459601,230428,1960033
2463390,230624,1962152
2467643,230792,1964300
2471741,230959,1966702
2471741,230959,1966702
2477283,231187,1971470
2478551,231244,1974255
2482784,231505,1977071
2487747,231847,1979823
2493087,232068,1982674
2498357,232346,1985459
2503408,232521,1988096
2505792,232564,1990610
2507453,232608,1994014
2513164,232803,1997381
2519269,233047,2000530
2525350,233248,2003477
2531192,233428,2007339
2537457,233580,2010754
2540068,233622,2014868
2541873,233689,2019048
2549862,233958,2023270
2558369,234192,2027541
2567821,234458,2031875
2577140,234675,2036776
2586721,234907,2041418
2590500,234969,2045818
2593574,235058,2051357
2604711,235277,2056317
2616827,235507,2061595
2629648,235740,2068175
2642068,236015,2074145
2654699,236240,2080483
2659137,236331,2086657
2664444,236469,2095953
2678297,236810,2104298
2693495,237207,2112815
2709739,237626,2120815
2709739,237626,2120815
2741983,238316,2140327
2748518,238424,2148642
2754438,238595,2160130
2771846,239079,2171095
2790874,239616,2181291
2810097,239997,2192477
2829443,240456,2204109
2848252,240906,2215884
2854992,241034,2226594
2861498,241279,2241868
2880409,241936,2257443
2901094,242547,2270427
