0,1,2
,,6745.0
20610.0,,
21638.0,1685.0,
23049.0,,7931.0
,,
,,9625.0
,,
32332.0,,
,2517.0,11679.0
,,12391.0
41495.0,,13911.0
,,14656.0
,3036.0,15473.0
50468.0,3160.0,
,,
,,19736.0
58226.0,3603.0,
,3739.0,
,,27039.0
64586.0,3993.0,29812.0
66220.0,4110.0,
68192.0,,35465.0
70029.0,4357.0,41947.0
,,
73303.0,,
,4683.0,48129.0
,4777.0,
,4869.0,
79494.0,4958.0,
,5031.0,
82211.0,,57023.0
,,59273.0
,5297.0,
85996.0,5391.0,63113.0
,,64843.0
,,66599.0
,,68193.0
90481.0,,
,5806.0,70933.0
92584.0,5877.0,72439.0
93657.0,,
94640.0,,75103.0
95646.0,,76318.0
,,
,,
,,79379.0
,6340.0,80475.0
101650.0,,
103135.0,,82744.0
104691.0,6541.0,
106220.0,,85064.0
,6640.0,86143.0
,,
110767.0,,88357.0
112725.0,,
,6854.0,90539.0
,,
,6937.0,93147.0
,6988.0,
,7057.0,95661.0
124603.0,7119.0,97173.0
126949.0,7183.0,98808.0
129341.0,7249.0,
,7300.0,102276.0
,,104072.0
,7417.0,
137724.0,,
,7508.0,109437.0
141591.0,,
,7627.0,
,,
148950.0,7734.0,
151466.0,7797.0,118848.0
,7878.0,121004.0
157562.0,7942.0,
160696.0,8012.0,125206.0
,8071.0,
,,
,8209.0,
,,
173832.0,,136360.0
,8425.0,138457.0
177938.0,8506.0,
,8584.0,
,8659.0,144649.0
,,
187427.0,,148674.0
,,150590.0
192439.0,9065.0,152675.0
195051.0,9185.0,
197647.0,,156991.0
200262.0,9392.0,
,,
204952.0,,
207525.0,9742.0,
209970.0,9863.0,169160.0
212501.0,,
,,175103.0
217724.0,,177852.0
,,
222669.0,10508.0,
225205.0,10670.0,186180.0
227662.0,,
,10958.0,191487.0
,,194098.0
,,
,11408.0,198949.0
240438.0,11571.0,
,11731.0,
,11931.0,207000.0
,,
,,212176.0
,12447.0,215015.0
255117.0,12635.0,217666.0
257303.0,,219993.0
,13032.0,
262173.0,,
,,
,,230608.0
269440.0,,232873.0
,13979.0,235300.0
,14188.0,237788.0
276202.0,14405.0,240087.0
278827.0,,242351.0
281413.0,,
284034.0,15074.0,
,15289.0,
288839.0,15484.0,251319.0
,,
,,255144.0
296273.0,,257019.0
,,259116.0
301530.0,16569.0,
,16766.0,263519.0
,16982.0,265830.0
309437.0,,
312035.0,17405.0,
,,272535.0
,17802.0,274932.0
,,277463.0
,,
,18264.0,
,,
328844.0,18616.0,286642.0
331189.0,18800.0,
,,290244.0
,,292058.0
338825.0,,
341070.0,19492.0,295630.0
,,
345450.0,19804.0,
,,300881.0
350279.0,,302528.0
352558.0,,304236.0
,,
,20502.0,
,,309464.0
,,
,20901.0,
,21020.0,314870.0
,,
,,318270.0
371816.0,21359.0,
373570.0,21462.0,321421.0
,,323233.0
,21672.0,325124.0
378752.0,21797.0,
,21926.0,
,,
384666.0,,332131.0
