0,1,2
203.0,2.0,
,,
316.0,3.0,
367.0,,
,5.0,
475.0,,4.0
585.0,,4.0
717.0,12.0,4.0
848.0,16.0,4.0
993.0,,
,28.0,
1215.0,29.0,35.0
1378.0,,35.0
,50.0,35.0
,60.0,633.0
,79.0,633.0
2143.0,,
,,
2785.0,141.0,
3181.0,174.0,633.0
3441.0,,
3844.0,,
4219.0,273.0,633.0
,296.0,
5014.0,332.0,
,406.0,
,449.0,2125.0
,,
6875.0,,2125.0
,650.0,2125.0
,686.0,
8772.0,,
9501.0,857.0,
10544.0,,
11633.0,1069.0,
,1221.0,2627.0
,1305.0,7149.0
14677.0,,
,1434.0,9086.0
,,
17799.0,1732.0,
19224.0,1859.0,
20739.0,1972.0,12377.0
,,
23471.0,2154.0,13447.0
24905.0,,13447.0
,2507.0,
27634.0,,17781.0
29616.0,,
31522.0,3160.0,
,,21824.0
,3465.0,21824.0
36327.0,,
38324.0,3926.0,25935.0
,,26990.0
42595.0,,
,4767.0,
,5045.0,31848.0
49219.0,,
,5332.0,35388.0
54346.0,5666.0,37325.0
56594.0,,38419.0
59567.0,,40152.0
,,42191.0
65856.0,7179.0,
68620.0,7394.0,
71105.0,,
74560.0,8134.0,51708.0
78023.0,8597.0,
,9044.0,56041.0
84627.0,9415.0,
87512.0,9779.0,61247.0
,,63772.0
93435.0,,
,,69749.0
101238.0,,
,12545.0,74758.0
,13170.0,77841.0
113619.0,,80830.0
,13699.0,83775.0
120102.0,,
124301.0,14649.0,
129184.0,15357.0,93930.0
133974.0,,97198.0
,16448.0,
142690.0,,
,17141.0,
150264.0,,
,,115394.0
159793.0,,118504.0
,,
170485.0,20394.0,
,20781.0,
,21825.0,134495.0
185122.0,22584.0,139383.0
,,143646.0
196847.0,,148487.0
,25060.0,152362.0
208392.0,,
212802.0,,
216852.0,26648.0,
220657.0,,170147.0
226089.0,27769.0,
231770.0,,
,,
,,189345.0
,,195724.0
256848.0,30639.0,
261750.0,31119.0,
,,209437.0
275003.0,32796.0,214316.0
,,
,,225356.0
,34730.0,229856.0
,35006.0,234905.0
,35491.0,
311486.0,,245830.0
,36906.0,252368.0
,,257681.0
,,264202.0
338913.0,38888.0,271239.0
,,254941.0
349396.0,,263091.0
,40400.0,267407.0
,41190.0,270147.0
,41908.0,
,,
,43374.0,288819.0
,43680.0,295222.0
395489.0,,303810.0
,,
408449.0,,
416179.0,,320100.0
,,
434193.0,47472.0,334867.0
,47746.0,342527.0
443813.0,,353442.0
449961.0,48869.0,
456100.0,49698.0,
,50517.0,
469407.0,51311.0,370098.0
,52006.0,377125.0
480278.0,52298.0,
,,
,53929.0,397278.0
498380.0,54666.0,401182.0
505751.0,55293.0,
511369.0,55908.0,410479.0
517714.0,56543.0,418164.0
,56757.0,
,57023.0,
531239.0,57774.0,
537031.0,,438375.0
,,
,,448344.0
,60254.0,453104.0
560164.0,,
563705.0,,466209.0
568621.0,61450.0,
,,
,62594.0,
,,
,,
,,489724.0
599560.0,,
,,
610957.0,65816.0,
,66329.0,510626.0
,,514663.0
629409.0,67326.0,
634023.0,67558.0,524669.0
637509.0,67781.0,531334.0
,68484.0,
647321.0,69049.0,538514.0
652364.0,69649.0,541804.0
658299.0,70183.0,
,70604.0,
668381.0,70821.0,
671716.0,71049.0,
676487.0,,
680931.0,71978.0,574203.0
684113.0,72179.0,579145.0
,72803.0,582109.0
,,
,73493.0,590459.0
700580.0,,596317.0
705263.0,,
710049.0,,601611.0
,75439.0,605796.0
,75844.0,
726431.0,,612361.0
,76430.0,
,,622398.0
,77163.0,
,77646.0,
,78078.0,629630.0
753090.0,,
,,637993.0
761665.0,,645123.0
,81877.0,
,82348.0,676923.0
799188.0,82726.0,
804488.0,,682604.0
810020.0,83497.0,
,83642.0,
,,
821045.0,83945.0,700826.0
825340.0,,703457.0
,,
,85285.0,707631.0
,85704.0,712250.0
,,715848.0
,,
854926.0,,727759.0
,,
,,
,87415.0,
,88312.0,
,88743.0,
891160.0,,
,89171.0,760259.0
,89814.0,
906863.0,,
,90773.0,770007.0
,,774567.0
924962.0,91753.0,779371.0
,91895.0,
933155.0,92100.0,795356.0
938405.0,92593.0,
943630.0,93228.0,
949197.0,93772.0,
955128.0,94323.0,
961938.0,94808.0,
,,824355.0
,,
,,824355.0
,,
991835.0,97056.0,
,,
,98259.0,
1006522.0,,750190.0
,,754200.0
,,757951.0
1015071.0,99528.0,762025.0
,,
1025969.0,,
,,770728.0
,,779104.0
1049358.0,,784693.0
1060152.0,102739.0,
1070487.0,,
1078594.0,104242.0,
1090675.0,104873.0,808618.0
,105459.0,813254.0
,105655.0,818397.0
,105940.0,823586.0
,,
,107565.0,
1144643.0,108173.0,
1156770.0,108863.0,852719.0
,109456.0,859643.0
1175850.0,,866186.0
,110074.0,
,110874.0,881050.0
1205229.0,111655.0,889168.0
,,896130.0
1229379.0,,904042.0
,,
1250044.0,113953.0,
1255974.0,114298.0,
1267202.0,,
,115769.0,
1289298.0,,
1301546.0,117249.0,962397.0
1313675.0,117876.0,971115.0
1320545.0,118202.0,
,,
1338426.0,119495.0,
,,
,,1015256.0
1372243.0,,1023916.0
1377217.0,,
1383434.0,122426.0,1038766.0
1389430.0,,
