0,1,2
234.0,,1.0
,,1.0
,34.0,
,,
,45.0,
480.0,57.0,
580.0,,14.0
635.0,71.0,
671.0,86.0,16.0
852.0,,16.0
950.0,113.0,
1065.0,,
,,394.0
,183.0,537.0
,,
1746.0,258.0,914.0
,,989.0
,360.0,
,423.0,1301.0
,471.0,
5256.0,569.0,
,,
,,
,,1798.0
9784.0,952.0,2642.0
10303.0,,2869.0
11475.0,,
12491.0,,
,,
,1628.0,
15628.0,1786.0,6811.0
16325.0,,
17837.0,2199.0,6982.0
,2418.0,
,,
,2910.0,7496.0
,,
,3488.0,8088.0
,3793.0,
31190.0,4106.0,9179.0
33931.0,4450.0,10037.0
,,
,5181.0,11129.0
42534.0,5589.0,12434.0
,,
47372.0,,14427.0
51189.0,6871.0,
54817.0,7328.0,
58526.0,,
,8263.0,19012.0
,,
67307.0,,
,,22406.0
72059.0,10294.0,23324.0
,,
80604.0,11277.0,25151.0
84495.0,11824.0,
,,28272.0
92273.0,,
,13369.0,
,13984.0,
104020.0,14512.0,
,15056.0,
,15583.0,44848.0
,16101.0,47915.0
,16644.0,49795.0
,,
,17796.0,52906.0
,,56169.0
,,59442.0
148285.0,19609.0,
155671.0,20111.0,66447.0
,20710.0,67208.0
,,
,21938.0,
178914.0,,
183198.0,,76228.0
187400.0,23640.0,
,24225.0,82731.0
196515.0,24834.0,
,25402.0,
203736.0,,
,26610.0,98031.0
,27225.0,102429.0
,27825.0,107133.0
,28386.0,111724.0
,29010.0,
,29603.0,119409.0
237156.0,,125205.0
,,128622.0
244388.0,,
,,
,32574.0,
254936.0,,141967.0
,33694.0,145320.0
,34231.0,148437.0
,34779.0,
268602.0,,151225.0
272364.0,,
,36337.0,
279419.0,36870.0,
,37405.0,171159.0
,37898.0,174535.0
288477.0,38449.0,178245.0
292004.0,,182097.0
,39533.0,
299080.0,40108.0,189621.0
302718.0,,193957.0
,41200.0,
309278.0,41756.0,
,,204748.0
,42858.0,
319646.0,43377.0,
322710.0,,
,44528.0,217111.0
330123.0,45114.0,221008.0
,,
337751.0,46300.0,226400.0
341586.0,,
,47472.0,233982.0
349500.0,48645.0,
353590.0,,
357681.0,,245081.0
362087.0,49875.0,248746.0
,50473.0,
371096.0,51097.0,
375961.0,51716.0,259423.0
,,259423.0
375961.0,,
,53532.0,
395005.0,54182.0,276452.0
400683.0,,280044.0
400683.0,,283915.0
407492.0,55982.0,
407492.0,,
428850.0,,294187.0
,,298091.0
,,
,,306430.0
455409.0,,310337.0
,,
463875.0,,
,61718.0,
,62299.0,
,,329404.0
489680.0,,341938.0
498555.0,64139.0,341938.0
,64807.0,354232.0
516296.0,,
,66040.0,
535946.0,,
541493.0,,374019.0
549321.0,,
558420.0,,380730.0
567059.0,68791.0,
,,
585236.0,69826.0,
,,
,70861.0,414577.0
607382.0,71386.0,
613378.0,71831.0,421877.0
621997.0,72319.0,
629961.0,72801.0,
639435.0,73227.0,
,,
652037.0,,
657129.0,74416.0,480177.0
657129.0,74816.0,
670145.0,75174.0,498523.0
,75540.0,498523.0
,75901.0,506422.0
,,522251.0
691575.0,76586.0,522251.0
696190.0,,536959.0
702776.0,,
,,
716670.0,,559321.0
722832.0,,559321.0
,,566796.0
,78680.0,573364.0
,78963.0,
744400.0,,
750098.0,79474.0,594513.0
,79722.0,
