0,1,2
203.0,,4.0
251.0,2.0,
316.0,3.0,
,,4.0
405.0,5.0,
475.0,6.0,
585.0,,4.0
717.0,12.0,
848.0,16.0,4.0
,,4.0
,,
,29.0,35.0
1378.0,37.0,35.0
1510.0,50.0,35.0
1688.0,60.0,
1890.0,79.0,
2143.0,94.0,633.0
2439.0,125.0,
,141.0,
,,
3441.0,,633.0
3844.0,233.0,
4219.0,273.0,633.0
4661.0,,1772.0
5014.0,332.0,
5399.0,406.0,1964.0
5847.0,,2125.0
6297.0,486.0,
6875.0,,
,650.0,
8261.0,,
,712.0,2627.0
9501.0,,
10544.0,970.0,2627.0
,1069.0,2627.0
12872.0,1221.0,
,1305.0,
14677.0,1351.0,8354.0
,1434.0,9086.0
16752.0,1569.0,11423.0
,,
19224.0,,11423.0
,1972.0,12377.0
,2061.0,12377.0
23471.0,2154.0,13447.0
24905.0,2271.0,
26025.0,2507.0,16810.0
27634.0,2704.0,17781.0
29616.0,2961.0,17781.0
31522.0,3160.0,
33460.0,3353.0,21824.0
35022.0,,21824.0
36327.0,3573.0,23100.0
38324.0,,
,4220.0,26990.0
42595.0,4477.0,28475.0
45032.0,,30451.0
,5045.0,
,5177.0,33329.0
,5332.0,35388.0
54346.0,5666.0,
,6090.0,38419.0
,6510.0,40152.0
62527.0,6989.0,
,7179.0,44424.0
68620.0,,46979.0
71105.0,7633.0,49452.0
74560.0,8134.0,51708.0
,8597.0,53834.0
81400.0,9044.0,
84627.0,9415.0,
87512.0,9779.0,
,9930.0,
93435.0,10167.0,66965.0
97326.0,10637.0,69749.0
101238.0,11729.0,72680.0
105680.0,12545.0,
,13170.0,77841.0
113619.0,13511.0,
117103.0,13699.0,83775.0
120102.0,,87633.0
124301.0,14649.0,
,15357.0,93930.0
133974.0,15944.0,97198.0
,,
142690.0,,104078.0
146837.0,,
,17580.0,112292.0
,18310.0,115394.0
159793.0,19080.0,
165455.0,,122180.0
170485.0,20394.0,126438.0
175202.0,20781.0,
180545.0,21825.0,134495.0
185122.0,22584.0,139383.0
,23377.0,
,24324.0,148487.0
202951.0,25060.0,152362.0
208392.0,25779.0,156827.0
,26381.0,160721.0
216852.0,26648.0,164646.0
,27121.0,170147.0
226089.0,,174538.0
231770.0,,178526.0
,29189.0,
,29843.0,
,30366.0,195724.0
,30639.0,199914.0
261750.0,,
,,209437.0
275003.0,32796.0,214316.0
,,219628.0
289174.0,,
295268.0,34730.0,
,35006.0,234905.0
304435.0,,
,36327.0,
317635.0,36906.0,252368.0
324041.0,37574.0,257681.0
331298.0,,264202.0
,38888.0,271239.0
344224.0,39184.0,
349396.0,39485.0,263091.0
356255.0,40400.0,267407.0
,41190.0,270147.0
,41908.0,
,42645.0,283382.0
385036.0,,288819.0
390516.0,,295222.0
,44022.0,303810.0
402697.0,44876.0,308142.0
408449.0,45361.0,314538.0
,46000.0,
424637.0,,327115.0
434193.0,47472.0,
439046.0,47746.0,342527.0
443813.0,,353442.0
449961.0,48869.0,
456100.0,49698.0,
462690.0,50517.0,365311.0
469407.0,,370098.0
475902.0,52006.0,377125.0
480278.0,52298.0,384432.0
485836.0,53003.0,
492522.0,53929.0,
498380.0,,
505751.0,55293.0,406583.0
511369.0,,410479.0
517714.0,56543.0,418164.0
,56757.0,
,57023.0,
531239.0,57774.0,433809.0
,58481.0,
,,
,,448344.0
,,453104.0
560164.0,60480.0,458123.0
563705.0,60800.0,466209.0
568621.0,61450.0,
,62076.0,
579914.0,62594.0,475532.0
585738.0,,479770.0
,63819.0,484283.0
595841.0,,489724.0
,,496222.0
606036.0,65241.0,501722.0
,65816.0,504541.0
616894.0,,510626.0
,,514663.0
,67326.0,
634023.0,67558.0,
637509.0,,
,,535141.0
,69049.0,538514.0
652364.0,69649.0,541804.0
658299.0,70183.0,547088.0
,70604.0,551113.0
668381.0,70821.0,
,71049.0,564053.0
,,
680931.0,,
,,579145.0
688954.0,72803.0,582109.0
694121.0,,586154.0
,73493.0,
700580.0,73697.0,596317.0
,74348.0,
,74949.0,601611.0
715457.0,,605796.0
720858.0,,609041.0
726431.0,76243.0,612361.0
730317.0,76430.0,
733717.0,76603.0,622398.0
738163.0,77163.0,
743216.0,77646.0,
748315.0,78078.0,
753090.0,78492.0,
757953.0,78880.0,637993.0
,,645123.0
789780.0,81877.0,670034.0
794608.0,82348.0,676923.0
799188.0,82726.0,679693.0
,,682604.0
810020.0,83497.0,
814328.0,83642.0,689377.0
817503.0,83781.0,694214.0
,83945.0,700826.0
825340.0,,703457.0
,84898.0,703489.0
834910.0,85285.0,707631.0
,85704.0,
847108.0,86059.0,715848.0
851227.0,86167.0,720973.0
854926.0,86338.0,727759.0
,,730594.0
867559.0,87415.0,733897.0
,87415.0,737437.0
,88312.0,
886800.0,,746939.0
891160.0,,752691.0
895326.0,89171.0,
901268.0,,763105.0
906863.0,90309.0,765128.0
912811.0,,770007.0
918811.0,,774567.0
924962.0,91753.0,
929392.0,,786516.0
933155.0,,795356.0
938405.0,92593.0,
943630.0,93228.0,804887.0
,93772.0,809063.0
,94323.0,
961938.0,94808.0,816659.0
,95027.0,
972785.0,95225.0,824355.0
,,824355.0
986177.0,96430.0,824355.0
,97056.0,736197.0
997393.0,,741340.0
1003253.0,,
1006522.0,98542.0,750190.0
,98861.0,754200.0
,99026.0,
1015071.0,,762025.0
1019543.0,100104.0,766361.0
1025969.0,100823.0,
,101373.0,770728.0
1041875.0,101676.0,779104.0
1049358.0,101926.0,784693.0
1060152.0,102739.0,
1070487.0,,
,,803581.0
1090675.0,104873.0,808618.0
1101403.0,105459.0,813254.0
1107071.0,105655.0,
1113543.0,105940.0,823586.0
1122362.0,106765.0,
,107565.0,836567.0
1144643.0,,843231.0
,,
1168395.0,109456.0,
1175850.0,109717.0,866186.0
1182249.0,,873555.0
1193255.0,,
1205229.0,,889168.0
1217126.0,112326.0,896130.0
1229379.0,,904042.0
1241436.0,113704.0,911965.0
1250044.0,113953.0,918681.0
1255974.0,114298.0,
,115099.0,938089.0
1277499.0,,945673.0
1289298.0,116487.0,953762.0
1301546.0,,962397.0
1313675.0,,971115.0
1320545.0,118202.0,978002.0
1325915.0,118598.0,987328.0
1338426.0,119495.0,
1350079.0,120311.0,1005248.0
,121172.0,1015256.0
,121837.0,1023916.0
1377217.0,122026.0,
1383434.0,122426.0,1038766.0
1389430.0,,1048539.0
1401529.0,,
,124897.0,1066771.0
,125807.0,
1437185.0,126507.0,1083768.0
1443544.0,,1090905.0
1448755.0,127213.0,1098431.0
1455219.0,127757.0,1105834.0
1466490.0,,1113137.0
1479835.0,129987.0,1119968.0
,,
1507931.0,,1134877.0
1524036.0,,1143254.0
,133706.0,1150422.0
1541633.0,,1160373.0
,,1168354.0
,136917.0,1176658.0
1588369.0,137916.0,1185621.0
,139022.0,1199810.0
,,1212403.0
1641428.0,140704.0,1223108.0
1649502.0,,1237321.0
1668396.0,142832.0,1251782.0
1688944.0,,1264780.0
1711283.0,146174.0,
1732290.0,147614.0,1291940.0
1752347.0,149084.0,
1763219.0,149614.0,1320448.0
1771740.0,150273.0,1335876.0
1788905.0,152016.0,1348660.0
1806849.0,153639.0,1362525.0
1825519.0,,1376073.0
1841893.0,,1390906.0
,,1403064.0
1864260.0,158536.0,
,159100.0,
,,1436482.0
1886245.0,161240.0,
,161240.0,1450237.0
,,1472151.0
1926080.0,165786.0,
,,1490077.0
1936013.0,166731.0,1501580.0
,168432.0,
,169760.0,1519572.0
1968566.0,,1528304.0
,172557.0,
1988695.0,173771.0,1542991.0
1992794.0,174207.0,1548174.0
1995892.0,174657.0,1555923.0
,175986.0,1563992.0
,177061.0,1571071.0
2022662.0,178108.0,1577838.0
2030491.0,178965.0,
2038276.0,179797.0,1590696.0
2041380.0,180107.0,
2043632.0,180536.0,1602024.0
2052266.0,181809.0,
2060908.0,182815.0,1614614.0
2069370.0,,
2076882.0,184474.0,
,185257.0,1630002.0
2086938.0,,1633900.0
2089281.0,186152.0,1639943.0
2097194.0,187187.0,1645312.0
2104987.0,188044.0,1650230.0
2112508.0,,
2119305.0,189578.0,1660786.0
2125866.0,190357.0,1666658.0
,,1670431.0
2130477.0,190923.0,1675996.0
2137884.0,,1681336.0
,192491.0,1685996.0
,193152.0,1691093.0
2157771.0,,1696739.0
,194490.0,1701216.0
2166290.0,,1705743.0
,194944.0,1711931.0
,195119.0,1716135.0
,195908.0,1720430.0
,196606.0,1724794.0
2187910.0,197219.0,1729269.0
2193639.0,,1733089.0
2195772.0,,1736159.0
2197160.0,,1740254.0
2203041.0,199048.0,1744262.0
2208755.0,199627.0,1748317.0
2214542.0,200211.0,1752125.0
2219845.0,200862.0,
2224904.0,201429.0,1759123.0
,,
,201832.0,
2232910.0,,1769256.0
,203210.0,1773236.0
2244268.0,,
2247357.0,203854.0,1781629.0
2249195.0,204011.0,
2250458.0,,1788209.0
2251705.0,204399.0,
2256509.0,204985.0,1795213.0
,205598.0,
2267019.0,206146.0,1802033.0
,207020.0,1804914.0
2278420.0,209212.0,
2280213.0,,1809921.0
2281840.0,209702.0,1812694.0
2286352.0,210282.0,
,210812.0,1817866.0
2295435.0,,1820959.0
,211693.0,1823732.0
2304096.0,212228.0,1826646.0
,212339.0,1829480.0
2306910.0,212466.0,1833132.0
2311172.0,,1836377.0
2315811.0,213597.0,1839381.0
,214095.0,1841964.0
,214504.0,
,,1848177.0
2328391.0,214947.0,1850680.0
,215113.0,1853789.0
,215547.0,1856543.0
2336944.0,215918.0,1858844.0
2340934.0,216447.0,1861861.0
2344755.0,216907.0,1864914.0
2347780.0,217168.0,1867191.0
2348873.0,217233.0,
2349900.0,217345.0,1872375.0
2352964.0,,1875211.0
2355985.0,218007.0,1877347.0
2358831.0,218173.0,
2361874.0,218657.0,1881818.0
,218928.0,
2365792.0,218985.0,1886233.0
2366496.0,219089.0,
2368393.0,219323.0,1891052.0
2371483.0,219590.0,
2375115.0,219901.0,1895483.0
,,
2380690.0,220384.0,1899742.0
2381923.0,220437.0,1901322.0
,220493.0,1903494.0
,,1905591.0
2387512.0,220850.0,
2390140.0,221080.0,1909187.0
2392744.0,,1911033.0
2395330.0,221597.0,1912690.0
2396604.0,221647.0,1914101.0
2397307.0,,
2399790.0,221960.0,1917958.0
2402722.0,222232.0,1919821.0
,222661.0,
2408778.0,,
,,
,223507.0,1926287.0
2413742.0,223568.0,1928467.0
,227840.0,
2423928.0,228146.0,1932457.0
,228362.0,1934541.0
2429631.0,,1936266.0
2431702.0,228758.0,1937977.0
2433681.0,,1939596.0
2434562.0,228838.0,1941913.0
,,1944267.0
2441866.0,,1946477.0
2445538.0,229580.0,1948267.0
,,1950419.0
,,1952381.0
2454176.0,230150.0,1954251.0
2455351.0,,1956575.0
2459601.0,230428.0,
2463390.0,230624.0,1962152.0
2467643.0,230792.0,1964300.0
,230959.0,1966702.0
2471741.0,,1966702.0
2477283.0,,
2478551.0,,
2482784.0,231505.0,1977071.0
2487747.0,231847.0,1979823.0
,,1982674.0
2498357.0,232346.0,
,232521.0,1988096.0
,232564.0,
2507453.0,,1994014.0
2513164.0,232803.0,
,233047.0,
2525350.0,233248.0,2003477.0
2531192.0,233428.0,
2537457.0,233580.0,2010754.0
2540068.0,233622.0,
,233689.0,2019048.0
,233958.0,2023270.0
,234192.0,2027541.0
2567821.0,,2031875.0
2577140.0,,2036776.0
2586721.0,234907.0,2041418.0
2590500.0,,
,235058.0,
2604711.0,235277.0,2056317.0
,,
2629648.0,235740.0,2068175.0
2642068.0,236015.0,2074145.0
,236240.0,2080483.0
2659137.0,,
2664444.0,236469.0,
,236810.0,2104298.0
,237207.0,
2709739.0,,2120815.0
2709739.0,237626.0,
2741983.0,238316.0,2140327.0
2748518.0,238424.0,2148642.0
2754438.0,238595.0,2160130.0
2771846.0,,2171095.0
2790874.0,239616.0,2181291.0
2810097.0,,2192477.0
2829443.0,240456.0,2204109.0
2848252.0,240906.0,2215884.0
,241034.0,2226594.0
,241279.0,2241868.0
,,2257443.0
2901094.0,242547.0,2270427.0
