Confirmed,Death,recovered
918053,22087,859097
925089,22180,865413
931939,22279,871234
938094,22359,877189
942958,22384,882772
947783,22402,888826
954843,22524,892973
962321,22587,897975
969913,22653,905435
977243,22754,912058
984484,23070,918446
989492,23107,924612
995538,23135,931270
1003406,23328,936721
1011485,23421,942413
1019478,23524,950889
1026785,23644,958400
1032612,23677,965641
1037780,23734,965641
1043022,23796,980245
1051270,23979,986285
1060421,24108,991676
1068522,24213,998400
1076499,24346,1005860
1082920,24483,1012904
1088710,24518,1020925
1094267,24548,1026934
1101698,24766,1033189
1109311,24923,1037539
1117348,25055,1045807
1124718,25177,1053635
1131340,25277,1060796
1136189,25317,1067662
1141403,25353,1074827
1148320,25532,1081117
1155902,25641,1084831
1162811,25742,1092935
1169536,25856,1099918
1175614,25975,1106862
1179772,26020,1112463
1184271,26073,1120141
1190991,26247,1125761
1198245,26353,1129347
1203755,26457,1136197
1210920,26561,1143565
1215815,26659,1149795
1219064,26696,1155630
1222949,26726,1160945
1229248,26895,1166227
1235778,27004,1170437
1241976,27101,1177342
1247469,27218,1183155
1252808,27318,1188831
1256546,27356,1193927
1260448,27384,1199432
1266601,27520,1204176
1273516,27647,1208396
1280252,27734,1214817
1286548,27832,1220351
1292096,27934,1225846
1295862,27965,1231002
1300629,27997,1237410
1308311,28169,1241426
1315913,28290,1245988
1323413,28386,1252970
1329918,28518,1259080
1335261,28548,1265116
1339421,28585,1270510
1344618,28624,1277019
1352723,28809,1282561
1361381,28928,1287804
1369597,29047,1295499
1377507,29168,1302518
1384346,29300,1309040
1389357,29344,1315860
1394973,29385,1321600
1403101,29598,1327643
1411346,29696,1333631
1420266,29816,1342080
1427956,29937,1347676
1434884,30058,1355224
1440417,30104,1362431
1445768,30141,1369856
1453477,30339,1376335
1461419,30472,1382124
1468992,30579,1391016
1476473,30707,1399187
1482663,30804,1406555
1487239,30865,1413414
1491561,30922,1420365
1498231,31140,1426275
1505001,31259,1431515
1511275,31392,1439182
1517018,31513,1445703
1522223,31645,1452108
1525933,31690,1456672
1528409,31746,1462966
1531872,31797,1468137
1537471,32012,1472337
1542642,32163,1478841
1547103,32298,1484410
1551137,32454,1489537
1553774,32489,1494284
1555902,32545,1498792
1558557,32588,1502411
1562613,32809,1505708
1566461,32973,1509342
1569784,33103,1513495
1572608,33249,1517303
1574465,33288,1520879
1576336,33328,1524232
1579591,33514,1527050
1582391,33636,1529269
1585160,33767,1532078
1587478,33877,1535072
1589623,33980,1537815
1590887,34016,1540595
1592130,34049,1543171
1594496,34207,1545186
1596549,34309,1547042
1598481,34403,1549660
1599879,34514,1551119
1600883,34539,1553145
